epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5568,0.3619,0.41937,0.89923,0.98041,1,0.995,0.995,0.14061,0.09687,0.75409,0.000157785,0.000157785,0.000157785
2,84.5805,0.36797,0.40537,0.8998,0.97843,1,0.995,0.995,0.15504,0.09597,0.75214,0.000295566,0.000295566,0.000295566
3,124.814,0.37787,0.41605,0.90399,0.98893,1,0.995,0.985,0.19718,0.13044,0.76669,0.000412403,0.000412403,0.000412403
4,164.781,0.38394,0.42474,0.90467,0.9816,1,0.995,0.995,0.1853,0.13006,0.75972,0.000381752,0.000381752,0.000381752
5,205.156,0.3806,0.41039,0.90533,0.98922,1,0.995,0.995,0.16504,0.12963,0.75219,0.000350336,0.000350336,0.000350336
6,248.151,0.25136,0.31337,0.80106,0.98351,1,0.995,0.995,0.19245,0.14977,0.75529,0.00031892,0.00031892,0.00031892
7,287.981,0.24918,0.28706,0.80007,0.99028,1,0.995,0.995,0.17644,0.14146,0.75844,0.000287504,0.000287504,0.000287504
8,327.754,0.24338,0.27127,0.79687,0.98169,1,0.995,0.995,0.17478,0.15333,0.75914,0.000256088,0.000256088,0.000256088
9,367.341,0.24153,0.26318,0.79695,0.99173,1,0.995,0.995,0.15761,0.10266,0.75344,0.000224672,0.000224672,0.000224672
10,407.106,0.23734,0.24206,0.79643,1,1,0.995,0.995,0.16818,0.10523,0.75005,0.000193256,0.000193256,0.000193256
11,446.996,0.23459,0.23093,0.794,0.98762,1,0.995,0.995,0.16414,0.10402,0.7536,0.00016184,0.00016184,0.00016184
12,487.002,0.23139,0.21522,0.79398,0.98346,1,0.995,0.8951,0.36255,0.24734,1.07556,0.000130424,0.000130424,0.000130424
13,526.866,0.22625,0.20385,0.79094,0.96511,1,0.995,0.995,0.15989,0.15842,0.75185,9.9008e-05,9.9008e-05,9.9008e-05
14,566.525,0.22238,0.19113,0.79256,0.97186,1,0.995,0.995,0.16075,0.12514,0.75147,6.7592e-05,6.7592e-05,6.7592e-05
15,606.323,0.21857,0.18274,0.79098,0.98075,1,0.995,0.995,0.15614,0.12408,0.75041,3.6176e-05,3.6176e-05,3.6176e-05
