epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,242.67,0.56972,1.34318,0.95337,0.89933,0.85925,0.93509,0.86948,0.36599,0.61777,0.81382,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736,0.00998208,0.00332736
2,479.378,0.57836,0.62018,0.95624,0.79979,0.69473,0.76476,0.69444,0.4291,1.05057,0.83981,0.0197348,0.00657827,0.0197348,0.00657827,0.0197348,0.00657827,0.0197348,0.00657827
3,711.657,0.63077,0.62229,0.9824,0.67159,0.56444,0.65329,0.55164,0.56255,1.12953,0.94186,0.02924,0.00974667,0.02924,0.00974667,0.02924,0.00974667,0.02924,0.00974667
4,945.57,0.60887,0.59057,0.97774,0.70917,0.60267,0.72426,0.64467,0.50252,1.12882,0.93013,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,1174.86,0.55832,0.5181,0.96049,0.93811,0.9191,0.96892,0.90354,0.35424,0.31214,0.83021,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,1415.1,0.52501,0.47335,0.94507,0.91841,0.88309,0.95243,0.90311,0.31369,0.32247,0.80994,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,1648.85,0.50941,0.44619,0.93979,0.90399,0.9223,0.95772,0.91551,0.31185,0.31553,0.81487,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,1883.14,0.49784,0.42727,0.93571,0.9478,0.88068,0.95179,0.90197,0.3379,0.46613,0.83646,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,2118.7,0.48509,0.413,0.92834,0.94697,0.92815,0.97341,0.93009,0.28806,0.24609,0.80321,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,2353.94,0.47868,0.39842,0.92631,0.96092,0.94692,0.98112,0.93896,0.28563,0.22791,0.80328,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,2591.87,0.47181,0.38999,0.92543,0.96265,0.91881,0.97587,0.93819,0.2779,0.23148,0.80068,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,2826.45,0.46716,0.3811,0.92263,0.96501,0.93497,0.98009,0.9458,0.26366,0.20988,0.79715,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,3055.14,0.46252,0.37336,0.91967,0.96893,0.96088,0.98595,0.95212,0.25783,0.18987,0.79148,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,3290.33,0.45641,0.36758,0.91787,0.97054,0.9482,0.98522,0.95297,0.25547,0.18748,0.79358,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,3529.81,0.45252,0.36258,0.91609,0.97239,0.9658,0.98668,0.95274,0.25528,0.17874,0.7952,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,3767.03,0.44719,0.35436,0.91512,0.97737,0.95876,0.98532,0.95548,0.24813,0.17067,0.79252,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,4002.63,0.44671,0.35531,0.91533,0.97084,0.96074,0.98602,0.95623,0.24556,0.1704,0.79021,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,4238.95,0.44196,0.34801,0.91237,0.96811,0.96078,0.98632,0.95469,0.24498,0.1689,0.79083,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,4476.19,0.44261,0.34403,0.916,0.98137,0.96298,0.98781,0.95766,0.24418,0.15962,0.79161,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,4713.05,0.43635,0.33933,0.91207,0.98033,0.96269,0.98646,0.95807,0.24192,0.16119,0.79117,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,4951.18,0.43655,0.33555,0.9111,0.98044,0.96331,0.9871,0.95831,0.24111,0.15776,0.79076,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,5184.54,0.43328,0.332,0.91117,0.97953,0.96741,0.9873,0.95892,0.23977,0.15207,0.78958,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,5420.07,0.4297,0.3235,0.90802,0.97714,0.97163,0.98785,0.95945,0.23871,0.14986,0.78829,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,5655.62,0.42811,0.32522,0.90673,0.97681,0.96927,0.98789,0.96,0.23758,0.14953,0.78833,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
