epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,505.62,0.54774,1.99054,0.96772,0.61671,0.65256,0.66821,0.62101,0.32405,1.23547,0.81969,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287,0.00998611,0.0033287
2,974.312,0.53858,1.00319,0.95309,0.61577,0.65973,0.6619,0.6054,0.36562,0.84061,0.84714,0.0196563,0.00655211,0.0196563,0.00655211,0.0196563,0.00655211,0.0196563,0.00655211
3,1446.91,0.56994,0.94282,0.97447,0.57804,0.56737,0.58674,0.5299,0.3926,1.10469,0.87153,0.0289966,0.00966552,0.0289966,0.00966552,0.0289966,0.00966552,0.0289966,0.00966552
4,1970.03,0.55294,0.89234,0.97223,0.59748,0.69023,0.65439,0.60473,0.33576,0.88037,0.83921,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
5,2441.5,0.51487,0.80489,0.95863,0.7408,0.75174,0.78814,0.74127,0.29304,0.55091,0.82248,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
6,2899.63,0.4949,0.75503,0.95054,0.70715,0.70583,0.74434,0.69948,0.2993,0.67012,0.83203,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175,0.027525,0.009175
7,3365.92,0.48023,0.71939,0.94386,0.76334,0.76161,0.81264,0.76972,0.27025,0.52405,0.81194,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
8,3835.21,0.47255,0.69794,0.94173,0.78462,0.80434,0.84233,0.79957,0.2638,0.43784,0.81166,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845,0.026535,0.008845
9,4328.43,0.46589,0.6786,0.93711,0.79929,0.80851,0.85255,0.81395,0.24808,0.42383,0.80305,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
10,4806.49,0.46067,0.66402,0.93579,0.83352,0.81235,0.8678,0.83012,0.24333,0.39818,0.80277,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
11,5268.04,0.45591,0.64894,0.93219,0.81665,0.82781,0.87302,0.83615,0.2381,0.37914,0.79995,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
12,5727.47,0.45199,0.63912,0.93113,0.83241,0.8241,0.8782,0.84007,0.23806,0.36983,0.80028,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185,0.024555,0.008185
